site_id,site_name,latitude,longitude
W4280,GF,21.932327,39.113623
W7058,GF,21.699970,39.970810
W4873,GF,19.994880,41.519792
W5950,GF,21.417643,39.865132
W3385,RT,21.417997,39.866557
W6503,RT,21.396717,39.870643
W3106,GF,21.406942,39.444067
W3929,RT,21.468003,39.794328
W5931,GF,21.395578,39.869077
W3104,GF,21.544251,39.290107
W2036,RT,21.475526,39.223310
W2191,RT,21.562311,39.162078
W4648,IBS,21.551500,39.162560
W6210,GF,21.914470,39.116463
W4960,GF,20.016366,41.469535
W2082,GF,21.351100,39.538700
W2443,RT,21.438000,39.805100
W3146,GF,21.401918,39.318283
W2644,GF,21.398933,39.884293
W2434,RT,21.401296,39.880501
W6045,IBS,21.423200,39.817800
W2924,IBS,21.423650,39.817560
W4319,RT,21.423400,39.800100
W5942,GF,21.423778,39.798503
W3026,RT,21.513173,39.337347
W2004,RT,21.564700,39.213050
W6093,GF,21.664587,39.118602
W6254,RT,21.497445,39.784510
W5494,GF,21.086200,40.483900
W5421,GF,19.402087,41.162217
W4884,GF,20.388200,41.311700
W5678,RT,21.370952,40.259655
W4812,RT,21.377016,39.288500
W2641,GF,21.404425,39.830307
W2093,RT,21.407503,39.830460
W2671,GF,21.408545,39.829250
W4675,GF,21.404103,39.830013
W4961,COW,21.469097,39.271954
W6172,GF,21.755777,39.115427
W5572,GF,21.640308,39.706788
W2466,GF,21.399860,39.813623
W2667,GF,21.409730,39.819620
W2830,RT,21.532505,39.210738
W2255,RT,21.553912,39.292942
W5937,GF,21.401300,39.814807
W4837,GF,21.566800,39.239400
W6124,IBS,21.399500,39.821800
W6381,GF,21.458798,39.368400
W2764,GF,19.393600,41.061000
W4893,GF,19.754027,41.433862
W4894,GF,19.802565,41.438505
W4542,IBS,21.411340,39.882310
W4111,GF,21.429010,39.276582
W2991,IBS,21.602300,39.108700
W4159,RT,21.561246,39.179600
W2655,WM,21.409160,39.842453
W2600,GF,21.393525,39.826040
W3633,RT,21.759568,39.191205
W5938,GF,21.397915,39.826382
W3632,RT,21.748179,39.112041
W4352,GF,21.694981,39.092175
W2635,WM,21.422060,39.846203
W3746,RT,21.422828,39.847777
W3933,RT,21.445608,39.806750
W4503,RT,21.519895,39.228683
W4121,RT,21.548168,39.287972
W3996,RT,21.547631,39.223965
W4245,RT,21.561057,39.157502
W5473,GF,21.892400,40.436700
W5554,GF,21.556212,39.965135
W4067,GF,21.435013,39.639612
W5515,Dismantled,#N/A,#N/A
W5319,GF,21.751200,40.653200
W5451,GF,22.551100,39.433300
W5319,GF,21.751200,40.653200
W2769,GF,18.772100,41.383205
W4992,GF,20.012023,41.416035
W6329,GF,21.226604,40.430581
W4664,GF,21.230100,40.423283
W2456,RT,21.419035,39.862551
W2690,GF,21.421172,39.864340
W5478,GF,21.441937,39.534763
W3985,RT,21.559165,39.209471
W3270,GF,21.739542,39.131590
W5479,GF,21.452580,39.615408
W4536,GF,22.036938,38.974875
W5793,RT,21.517676,39.223268
W4967,GF,20.065800,41.541600
W2131,RT,21.489542,39.184741
W2689,WM,21.430168,39.864128
W5943,GF,21.429213,39.856545
W3382,RT,21.424198,39.858140
W5757,RT,21.550468,39.205408
W4163,RT,21.400060,39.293170
W2687,GF,21.432937,39.854808
W2867,RT,21.649735,39.114000
W2852,RT,21.637590,39.110782
W5718,GF,21.754900,39.108100
W2761,GF,19.843100,40.784700
W5594,RT,21.443362,39.816573
W2245,GF,21.452259,39.326361
W6024,IBS,21.417800,39.825900
W4500,IBS,21.417850,39.825920
W3512,GF,21.604260,39.196962
W6023,IBS,21.417800,39.825900
W2266,RT,21.529861,39.218866
W3982,RT,21.556681,39.180550
W2813,RT,21.586165,39.181280
W3080,GF,21.779695,39.232432
W5909,GF,22.096763,39.031382
W5571,GF,21.565133,39.777230
W6374,GF,21.105668,39.323203
W3164,GF,21.251045,39.180420
W2650,WM,21.432468,39.850097
W5948,GF,21.428170,39.855077
W3909,RT,21.537331,39.191723
W3055,RT,21.601150,39.227140
W2369,RT,21.454760,39.845830
W2362,RT,21.438459,39.812233
W3136,GF,21.264614,39.167038
W6043,GF,21.381792,39.215481
W4158,RT,21.415700,39.805100
W3112,IBS,21.417740,39.789290
W3111,IBS,21.417740,39.789290
W3641,RT,21.411700,39.831300
